_id,lat,lng,price,bed,bath,sf,quad
26702721,32.827489,-96.75994,1443643,5,5.5,5686,2.0133E+22
26755824,32.884534,-96.793742,1443893,4,5,4708,2.0133E+22
27201540,32.828404,-96.79042,1443936,4,4,3422,2.0133E+22
29019530,32.884341,-97.452704,1444124,4,4,5379,2.0133E+22
27208827,32.862084,-96.796843,1444179,2,2.5,1735,2.0133E+22
26755618,32.884515,-96.790596,1444265,5,5,5606,2.0133E+22
26756374,32.892311,-96.79584,1444357,4,5,5105,2.0133E+22
27199230,32.858415,-96.781861,1444390,4,4,3719,2.0133E+22
27199801,32.846916,-96.793309,1444391,5,5,3502,2.0133E+22
26706441,32.828218,-96.746116,1444539,5,3.5,4405,2.0133E+22
53103643,33.123357,-96.82954,1444708,5,5.5,6095,2.0133E+22
27206179,32.86014,-96.807956,1444719,4,6,4266,2.0133E+22
27209142,32.862637,-96.789864,1444760,3,2.5,2337,2.0133E+22
27206356,32.841063,-96.807746,1444804,4,3.5,3118,2.0133E+22
27199085,32.852727,-96.776387,1444813,4,5,4559,2.0133E+22
26903471,32.885021,-96.80109,1444928,5,5,5219,2.0133E+22
26755778,32.88557,-96.801746,1444946,4,6,5245,2.0133E+22
27212122,32.838879,-96.808245,1445047,4,4,4392,2.0133E+22
26876548,32.982428,-96.805175,1445122,5,4.5,5325,2.0133E+22
27202444,32.834603,-96.810864,1445224,4,3,3535,2.0133E+22
26733584,32.8382,-96.816164,1445288,4,3,4438,2.0133E+22
26692661,32.819449,-96.794899,1445407,4,3,5660,2.0133E+22
26717971,32.758156,-96.847786,1445409,4,7,5446,2.0133E+22
27211006,32.823448,-96.809969,1445420,4,5,4404,2.0133E+22
26911346,32.912636,-96.784897,1445488,4,4.5,5113,2.0133E+22
26804520,32.910592,-96.82768,1445520,5,6,5375,2.0133E+22
26755742,32.885528,-96.793405,1445562,5,6,5355,2.0133E+22
26848969,32.922334,-96.792485,1445583,5,4.5,5771,2.0133E+22
26728716,32.761257,-96.830268,1445593,3,4,4182,2.0133E+22
27209794,32.853246,-96.795306,1445652,4,3.5,3888,2.0133E+22
26755872,32.884023,-96.801764,1445850,5,5,5349,2.0133E+22
27199742,32.849514,-96.792673,1445908,4,3,2815,2.0133E+22
26876519,32.977462,-96.805322,1445971,4,4.5,5779,2.0133E+22
26751304,32.853654,-96.772835,1446285,4,3,3453,2.0133E+22
26848261,32.936711,-96.798582,1446318,4,4.5,5024,2.0133E+22
27201477,32.829403,-96.790433,1446326,4,3,3586,2.0133E+22
27198061,32.842715,-96.811633,1446458,4,3.5,4112,2.0133E+22
27284646,33.096857,-96.847673,1446490,5,5.5,6410,2.0133E+22
26754882,32.876071,-96.794125,1446532,4,4.5,3771,2.0133E+22
27208033,32.855677,-96.794629,1446635,3,3,3266,2.0133E+22
26740209,32.820166,-96.713075,1446658,5,4.5,4934,2.0133E+22
26911385,32.91218,-96.78535,1446690,4,5,5202,2.0133E+22
26756465,32.893942,-96.800218,1446826,5,4.5,5115,2.0133E+22
26758672,32.882129,-96.834903,1446988,6,5.5,6404,2.0133E+22
26755398,32.881943,-96.788535,1447249,5,5.5,5356,2.0133E+22
27202295,32.832471,-96.811921,1447299,4,2.5,3288,2.0133E+22
26755585,32.886513,-96.791243,1447342,5,5.5,5456,2.0133E+22
26760117,32.859163,-96.809542,1447363,4,3.5,4810,2.0133E+22
26756475,32.89277,-96.802604,1447595,6,8,5985,2.0133E+22
26757774,32.885694,-96.810676,1447839,3,3.5,3573,2.0133E+22
27209255,32.863643,-96.795086,1447843,4,4,3513,2.0133E+22
27202557,32.83514,-96.810653,1447971,4,3.5,3520,2.0133E+22
27211076,32.82414,-96.812902,1447980,5,5,5472,2.0133E+22
27210269,32.842912,-96.777907,1448266,4,6,4422,2.0133E+22
27210299,32.843449,-96.776919,1448328,4,5,4693,2.0133E+22
27203327,32.852793,-96.806849,1448360,4,5,4416,2.0133E+22
26736129,32.860196,-96.842877,1448433,5,2.5,3633,2.0133E+22
27208633,32.857188,-96.800252,1448671,4,3,3170,2.0133E+22
27210080,32.852307,-96.802274,1448704,4,4,4328,2.0133E+22
26756109,32.888589,-96.79092,1448810,4,3.5,5586,2.0133E+22
26837966,32.901992,-96.778717,1448910,5,6,5804,2.0133E+22
27199749,32.846925,-96.792013,1448989,4,3,4668,2.0133E+22
27209167,32.863649,-96.789319,1449034,4,3,3329,2.0133E+22
53099871,33.043377,-96.801132,1449116,5,5.5,5938,2.0133E+22
53103602,33.12337,-96.831696,1449212,4,5,5066,2.0133E+22
26731078,32.831697,-96.747157,1449373,3,3,2712,2.0133E+22
26738286,32.853938,-96.819288,1449498,4,5,4789,2.0133E+22
27198072,32.84312,-96.811622,1449575,4,4.5,4276,2.0133E+22
27207899,32.854619,-96.79327,1449611,4,2,3981,2.0133E+22
26751877,32.860076,-96.779691,1449633,5,4.5,4145,2.0133E+22
26692614,32.821795,-96.794273,1449763,3,3.5,4692,2.0133E+22
26756695,32.898795,-96.798654,1449797,5,5,4250,2.0133E+22
27207939,32.854647,-96.783149,1449918,4,5,3735,2.0133E+22
26756352,32.892881,-96.794893,1449941,5,6,5130,2.0133E+22
27199030,32.853679,-96.778093,1449967,3,3.5,4096,2.0133E+22
26649015,32.989255,-96.817463,1450226,5,6,6900,2.0133E+22
27208839,32.861638,-96.794528,1450281,3,3,2791,2.0133E+22
27211063,32.824039,-96.809966,1450419,4,4,4672,2.0133E+22
26755597,32.885962,-96.790916,1450452,4,4,5245,2.0133E+22
27202533,32.835192,-96.808186,1450476,4,3.5,4028,2.0133E+22
26902399,32.858085,-96.836846,1450633,3,3.5,4172,2.0133E+22
26756055,32.889662,-96.793825,1450712,5,5.5,5622,2.0133E+22
27201581,32.826881,-96.790517,1450722,3,3.5,3124,2.0133E+22
26755389,32.881956,-96.79097,1450777,4,5,5669,2.0133E+22
27201469,32.829856,-96.789257,1450861,4,3,2704,2.0133E+22
26902924,32.861478,-96.772942,1450913,3,4,5116,2.0133E+22
26740368,32.819482,-96.711226,1450913,3,6,4866,2.0133E+22
26733629,32.841991,-96.814811,1450936,3,2.5,3438,2.0133E+22
26876633,32.977551,-96.812787,1450994,4,6,5445,2.0133E+22
