_id,lat,lng,price,bed,bath,sf,quad
26669818,33.042009,-96.798092,1078811,5,4.5,5079,2.0133E+22
26654830,33.048039,-96.795539,1078877,4,4,5809,2.0133E+22
26692719,32.821392,-96.796207,1078931,2,2,2570,2.0133E+22
26669897,33.03965,-96.799003,1079082,4,4.5,4353,2.0133E+22
26903294,32.874442,-96.775425,1079103,4,4.5,4981,2.0133E+22
26732907,32.839398,-96.822111,1079150,3,3.5,3852,2.0133E+22
26655882,33.040396,-96.804054,1079244,5,4,5081,2.0133E+22
26740544,32.815517,-96.709176,1079252,4,4.5,4415,2.0133E+22
26692683,32.822909,-96.796278,1079343,3,3.5,2596,2.0133E+22
26645551,33.09929,-96.724323,1079377,5,5.5,5506,2.0133E+22
26702666,32.828339,-96.758289,1079436,3,3.5,4128,2.0133E+22
26754979,32.878383,-96.793952,1079446,3,3,3019,2.0133E+22
26725798,32.845084,-96.733927,1079598,4,5,4891,2.0133E+22
26725807,32.844051,-96.734237,1079625,4,4,4437,2.0133E+22
26876584,32.979191,-96.813449,1079650,4,6.5,5366,2.0133E+22
26756214,32.891821,-96.788722,1079751,4,5,3723,2.0133E+22
26756575,32.900204,-96.796212,1079798,4,4,4255,2.0133E+22
27305387,33.064031,-96.845256,1079867,4,4.5,5533,2.0133E+22
26734259,32.856274,-96.835954,1079896,4,3,3146,2.0133E+22
27206044,32.841332,-96.813343,1079974,3,2.5,2528,2.0133E+22
29286890,32.922917,-97.13805,1080046,5,5,5510,2.0133E+22
27209765,32.853254,-96.796887,1080183,4,3,2573,2.0133E+22
27203310,32.852355,-96.804736,1080269,4,3.5,2966,2.0133E+22
27202777,32.832983,-96.818768,1080331,4,2.5,3309,2.0133E+22
26759267,32.86945,-96.832188,1080353,3,2.5,3266,2.0133E+22
26595968,33.034205,-96.806124,1080399,5,5,5313,2.0133E+22
27295467,33.102812,-96.846327,1080429,4,4.5,5230,2.0133E+22
27206389,32.839376,-96.809262,1080439,4,2,3256,2.0133E+22
26828780,32.915548,-96.805013,1080515,4,5,4279,2.0133E+22
29037945,32.757893,-97.374831,1080666,4,3,4051,2.0133E+22
29314272,32.959305,-97.166511,1080762,5,5,5101,2.0133E+22
29316147,32.8855,-97.130778,1080773,4,4,5868,2.0133E+22
27202772,32.833508,-96.818376,1080791,4,2.5,3386,2.0133E+22
26804173,32.897129,-96.812404,1080815,3,4,5059,2.0133E+22
26669861,33.039987,-96.795813,1080834,5,5.5,5074,2.0133E+22
26913267,32.986451,-96.809646,1080862,3,3.5,4644,2.0133E+22
26754546,32.872748,-96.795161,1080874,4,3.5,4100,2.0133E+22
26702357,32.82168,-96.736102,1080886,3,3,3516,2.0133E+22
29151083,32.738441,-97.414266,1080934,4,3,3708,2.0133E+22
26804247,32.899974,-96.826664,1080966,4,4.5,4874,2.0133E+22
26900045,32.835009,-96.821041,1080984,4,4,3852,2.0133E+22
29268838,32.877879,-97.150634,1080988,5,5.5,7051,2.0133E+22
26733586,32.838109,-96.816881,1080995,3,2.5,3077,2.0133E+22
27207518,32.844482,-96.778826,1081011,4,3,3600,2.0133E+22
26752144,32.860643,-96.78145,1081021,4,3,3112,2.0133E+22
26648563,32.995187,-96.816174,1081094,4,5,4829,2.0133E+22
27206123,32.858586,-96.805079,1081160,3,3,2754,2.0133E+22
26760977,32.858494,-96.825522,1081183,3,3,3711,2.0133E+22
27199724,32.848964,-96.791658,1081206,4,3,2681,2.0133E+22
26804167,32.896842,-96.815256,1081267,4,5.5,4302,2.0133E+22
26736001,32.857832,-96.839951,1081359,4,2.5,2434,2.0133E+22
27208677,32.856651,-96.802673,1081360,5,6.5,6605,2.0133E+22
26752308,32.876199,-96.784155,1081377,5,6,5331,2.0133E+22
26760325,32.856789,-96.816361,1081428,4,3.5,4000,2.0133E+22
26911114,32.920507,-96.787217,1081441,4,5.5,5078,2.0133E+22
27209499,32.85146,-96.78965,1081482,4,3.5,3457,2.0133E+22
29319907,32.932845,-97.1248,1081508,5,5.5,5869,2.0133E+22
26804176,32.896428,-96.819315,1081519,4,5.5,4433,2.0133E+22
26845006,32.90504,-96.780888,1081695,4,5,4378,2.0133E+22
26755961,32.888232,-96.803325,1081698,3,4,3504,2.0133E+22
27203007,32.847588,-96.811933,1081764,3,3.5,3130,2.0133E+22
27210150,32.853659,-96.80355,1081898,4,4,2669,2.0133E+22
27202518,32.83556,-96.808764,1081945,3,2.5,2139,2.0133E+22
26757057,32.897105,-96.826733,1081969,3,4.5,4271,2.0133E+22
26701736,32.817923,-96.748588,1081995,3,3.5,2822,2.0133E+22
26755755,32.885999,-96.796712,1082046,4,3.5,3484,2.0133E+22
29171174,32.893554,-97.464374,1082182,5,4,4711,2.0133E+22
27210862,32.849614,-96.78125,1082278,4,4,3030,2.0133E+22
26698892,32.832527,-96.819651,1082301,3,3,2961,2.0133E+22
29149464,32.916269,-97.173768,1082324,5,5,5503,2.0133E+22
26755631,32.886952,-96.788083,1082351,4,3.5,3790,2.0133E+22
26911341,32.911358,-96.783575,1082359,3,4.5,4140,2.0133E+22
26733656,32.844465,-96.814445,1082427,4,4.5,3426,2.0133E+22
26757672,32.886884,-96.805235,1082429,3,3.5,4165,2.0133E+22
26870781,32.946627,-96.788074,1082482,4,6,6143,2.0133E+22
26692618,32.822269,-96.793916,1082494,4,2.5,3428,2.0133E+22
26631358,33.038043,-96.802209,1082501,4,5,5040,2.0133E+22
26897891,32.795887,-96.797319,1082519,4,3.5,3869,2.0133E+22
29301224,32.932722,-97.166513,1082550,5,6.5,6214,2.0133E+22
26913268,32.986368,-96.809859,1082558,5,3.5,5100,2.0133E+22
26911123,32.919445,-96.788059,1082602,4,5,5267,2.0133E+22
27210749,32.836875,-96.78899,1082702,4,5.5,3437,2.0133E+22
26702683,32.82856,-96.755727,1082717,5,4.5,4836,2.0133E+22
27209833,32.853262,-96.790663,1082775,4,3,3185,2.0133E+22
26757646,32.890847,-96.809751,1082876,5,5.5,4602,2.0133E+22
27199730,32.84753,-96.792,1082912,4,4,3234,2.0133E+22
29278824,32.890636,-97.137046,1082929,5,5,6654,2.0133E+22
29300979,32.690069,-97.159425,1082983,4,4,5830,2.0133E+22
29313854,32.94841,-97.223835,1082995,7,7,6750,2.0133E+22
27203311,32.852356,-96.804931,1083075,3,2,2697,2.0133E+22
29294584,32.922427,-97.146264,1083082,5,6,6158,2.0133E+22
27206359,32.841059,-96.807111,1083101,3,2,2293,2.0133E+22
26752675,32.875338,-96.777749,1083107,3,7,4448,2.0133E+22
26641966,33.026558,-96.803412,1083125,4,4.5,5793,2.0133E+22
27199001,32.853687,-96.782475,1083259,3,3,2006,2.0133E+22
27206369,32.840712,-96.808294,1083281,3,3.5,2710,2.0133E+22
26804131,32.897844,-96.817214,1083290,5,4.5,5184,2.0133E+22
26903349,32.87496,-96.77579,1083390,3,4.5,4741,2.0133E+22
27200384,32.836764,-96.793585,1083402,5,3,2886,2.0133E+22
26812186,32.894128,-96.782505,1083502,3,3.5,4232,2.0133E+22
27209872,32.85369,-96.788721,1083522,3,3,3220,2.0133E+22
26756928,32.900288,-96.819044,1083549,5,4.5,4121,2.0133E+22
